Email,frequency,recency,T,monetary_value,Compras_Predichas_6m,Ticket_Promedio_Predicho,LTV_6_Meses_Predicho
cliente_0247@ejemplo.com,10.0,205.0,260.0,288511.9,2.27,280496.93,636606.74
cliente_0002@ejemplo.com,7.0,167.0,167.0,128707.0,3.17,128868.77,409109.13
cliente_0394@ejemplo.com,15.0,452.0,548.0,230315.73,1.71,226888.26,387159.95
cliente_0158@ejemplo.com,6.0,332.0,363.0,214500.0,1.56,207650.12,322952.85
cliente_0170@ejemplo.com,13.0,607.0,640.0,113300.61,2.38,114000.81,271342.77
cliente_0203@ejemplo.com,3.0,232.0,274.0,297333.33,0.86,272114.58,234663.32
cliente_0465@ejemplo.com,6.0,419.0,527.0,259316.67,0.93,248791.09,231741.37
cliente_0120@ejemplo.com,7.0,619.0,641.0,173431.0,1.28,170411.42,217740.87
cliente_0138@ejemplo.com,2.0,22.0,49.0,202126.5,1.14,187088.11,212532.15
cliente_0162@ejemplo.com,5.0,173.0,204.0,121359.44,1.73,122291.13,211669.59
cliente_0080@ejemplo.com,2.0,102.0,118.0,226088.0,0.94,205984.73,194644.37
cliente_0113@ejemplo.com,3.0,28.0,49.0,100443.33,1.73,105072.84,181746.55
cliente_0375@ejemplo.com,4.0,306.0,398.0,230016.25,0.78,218312.5,171051.07
cliente_0250@ejemplo.com,6.0,576.0,632.0,168933.73,1.02,165821.02,169152.55
cliente_0316@ejemplo.com,6.0,525.0,600.0,159927.83,1.0,157553.74,157729.48
cliente_0265@ejemplo.com,6.0,496.0,557.0,141470.76,1.09,140610.45,153396.26
cliente_0377@ejemplo.com,2.0,47.0,139.0,268300.5,0.55,239274.52,130582.3
cliente_0478@ejemplo.com,6.0,359.0,469.0,135819.5,0.94,135422.68,127810.65
cliente_0112@ejemplo.com,1.0,7.0,27.0,193405.01,0.71,171620.06,122604.69
cliente_0140@ejemplo.com,1.0,21.0,48.0,234214.0,0.62,198187.34,122410.04
cliente_0739@ejemplo.com,7.0,439.0,607.0,172064.71,0.69,169142.33,117510.22
cliente_0151@ejemplo.com,1.0,9.0,38.0,178145.0,0.64,161685.57,103430.77
cliente_0050@ejemplo.com,3.0,159.0,168.0,73583.33,1.25,82284.78,103094.64
cliente_0182@ejemplo.com,3.0,431.0,468.0,165915.0,0.63,160619.09,100960.65
cliente_0246@ejemplo.com,3.0,116.0,171.0,94872.0,0.98,100346.11,98338.95
cliente_0200@ejemplo.com,1.0,8.0,49.0,192674.0,0.57,171144.17,96914.98
cliente_0252@ejemplo.com,4.0,147.0,203.0,74901.25,1.19,81528.67,96906.7
cliente_0397@ejemplo.com,3.0,382.0,479.0,186376.33,0.54,177978.51,96450.67
cliente_0220@ejemplo.com,3.0,433.0,480.0,162752.67,0.61,157936.16,95735.26
cliente_0094@ejemplo.com,2.0,591.0,609.0,310857.0,0.34,272835.6,93486.91
cliente_0755@ejemplo.com,4.0,252.0,430.0,200178.75,0.47,192001.13,89409.76
cliente_0085@ejemplo.com,1.0,35.0,52.0,145462.0,0.64,140408.43,89196.06
cliente_0053@ejemplo.com,1.0,36.0,46.0,127689.0,0.68,128837.94,87028.18
cliente_0117@ejemplo.com,2.0,116.0,138.0,86293.5,0.86,95739.41,82568.1
cliente_0154@ejemplo.com,1.0,29.0,59.0,146841.0,0.58,141306.18,81810.43
cliente_0762@ejemplo.com,5.0,297.0,480.0,164643.2,0.5,161383.68,80785.1
cliente_0065@ejemplo.com,1.0,16.0,28.0,94161.0,0.74,107010.7,79465.41
cliente_0459@ejemplo.com,3.0,217.0,324.0,126567.67,0.61,127236.76,77740.88
cliente_0063@ejemplo.com,1.0,10.0,21.0,81422.0,0.78,98717.42,76955.68
cliente_0099@ejemplo.com,1.0,19.0,38.0,95586.99,0.68,107939.04,73058.85
cliente_0328@ejemplo.com,3.0,57.0,135.0,85451.33,0.79,92353.6,73028.96
cliente_0194@ejemplo.com,2.0,420.0,460.0,189750.0,0.41,177327.7,72997.23
cliente_0494@ejemplo.com,3.0,443.0,557.0,147572.33,0.48,145057.15,69448.09
cliente_0015@ejemplo.com,1.0,30.0,33.0,70000.0,0.75,91281.52,68529.92
cliente_0426@ejemplo.com,2.0,180.0,282.0,151354.5,0.47,147048.08,68468.87
cliente_0519@ejemplo.com,4.0,392.0,509.0,101578.5,0.65,105053.25,67825.0
cliente_0073@ejemplo.com,1.0,44.0,58.0,96165.0,0.62,108315.34,67576.79
cliente_0228@ejemplo.com,2.0,182.0,231.0,104344.0,0.61,109974.47,67562.48
cliente_0109@ejemplo.com,1.0,79.0,99.0,134082.0,0.51,132999.88,67515.69
cliente_0092@ejemplo.com,1.0,65.0,83.0,114462.0,0.55,120226.96,65724.0
cliente_0309@ejemplo.com,2.0,562.0,636.0,231633.0,0.31,210357.64,65499.74
cliente_0166@ejemplo.com,3.0,225.0,257.0,59289.34,0.92,70157.74,64784.61
cliente_0447@ejemplo.com,4.0,404.0,508.0,90468.0,0.68,95255.77,64409.58
cliente_0013@ejemplo.com,2.0,385.0,387.0,130097.0,0.49,130283.91,64196.26
cliente_0188@ejemplo.com,2.0,181.0,220.0,86573.0,0.65,95959.83,62384.1
cliente_0132@ejemplo.com,1.0,302.0,327.0,293157.0,0.26,236560.13,61737.08
cliente_0298@ejemplo.com,2.0,61.0,132.0,82971.0,0.66,93119.21,61539.95
cliente_0894@ejemplo.com,3.0,183.0,402.0,217624.0,0.3,204489.07,61478.3
cliente_0234@ejemplo.com,3.0,183.0,236.0,57097.33,0.89,68298.04,60538.95
cliente_0321@ejemplo.com,2.0,66.0,143.0,87006.0,0.62,96301.3,60112.02
cliente_0491@ejemplo.com,1.0,14.0,127.0,231500.0,0.3,196420.48,59353.0
cliente_0473@ejemplo.com,2.0,289.0,398.0,156070.5,0.39,150767.23,59310.53
cliente_0608@ejemplo.com,4.0,354.0,487.0,91672.25,0.61,96317.7,59130.68
cliente_0625@ejemplo.com,2.0,133.0,272.0,154923.0,0.39,149862.29,58853.69
